대여일자,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리,이용시간
Dec-19,3,중랑센터,일일(회원),M,AGE_003,7,1208.87,10.11,43610,118
Dec-19,3,중랑센터,일일(회원),M,AGE_004,2,0,0,0,10
Dec-19,3,중랑센터,정기,M,AGE_005,5,110.02,1.03,4410,99
Dec-19,5,상암센터 정비실,일일(회원),\N,AGE_005,1,0,0,0,8
Dec-19,5,상암센터 정비실,일일(회원),M,AGE_004,5,427.8,3.92,16880,205
Dec-19,5,상암센터 정비실,일일(회원),M,AGE_005,1,16.43,0.14,610,5
Dec-19,101,101. (구)합정동 주민센터,일일(비회원),\N,AGE_008,2,1083.14,9.76,42080,82
Dec-19,101,101. (구)합정동 주민센터,일일(회원),\N,AGE_002,11,1001.83,8.81,37990,271
Dec-19,101,101. (구)합정동 주민센터,일일(회원),\N,AGE_003,3,345.41,2.74,11810,95
Dec-19,101,101. (구)합정동 주민센터,일일(회원),,AGE_003,1,45.36,0.34,1450,10
Dec-19,101,101. (구)합정동 주민센터,일일(회원),,AGE_004,1,191.3,1.67,7210,39
Dec-19,101,101. (구)합정동 주민센터,일일(회원),F,AGE_002,8,507.36,5.06,21800,323
Dec-19,101,101. (구)합정동 주민센터,일일(회원),F,AGE_003,4,1947.54,18.68,80550,172
Dec-19,101,101. (구)합정동 주민센터,일일(회원),M,AGE_002,7,653.93,5.91,25490,244
Dec-19,101,101. (구)합정동 주민센터,일일(회원),M,AGE_003,7,733.29,6.24,26890,185
Dec-19,101,101. (구)합정동 주민센터,일일(회원),M,AGE_004,1,75.74,0.59,2550,17
Dec-19,101,101. (구)합정동 주민센터,정기,\N,AGE_002,84,8616.86,80.91,348660,1584
Dec-19,101,101. (구)합정동 주민센터,정기,\N,AGE_003,20,1584.41,13.96,60090,382
Dec-19,101,101. (구)합정동 주민센터,정기,\N,AGE_004,3,98.7,0.86,3720,41
Dec-19,101,101. (구)합정동 주민센터,정기,\N,AGE_005,7,3032.5,23.66,102040,178
Dec-19,101,101. (구)합정동 주민센터,정기,,AGE_002,20,804.39,7.65,32960,280
Dec-19,101,101. (구)합정동 주민센터,정기,,AGE_005,1,91.48,0.71,3080,21
Dec-19,101,101. (구)합정동 주민센터,정기,F,AGE_002,45,3387,35.02,150880,1037
Dec-19,101,101. (구)합정동 주민센터,정기,F,AGE_003,47,1309.91,12.82,55210,492
Dec-19,101,101. (구)합정동 주민센터,정기,F,AGE_004,30,1872.53,18.9,81530,547
Dec-19,101,101. (구)합정동 주민센터,정기,M,AGE_002,14,1104.96,6.74,29060,195
Dec-19,101,101. (구)합정동 주민센터,정기,M,AGE_003,51,3473.12,27.59,118880,867
Dec-19,101,101. (구)합정동 주민센터,정기,M,AGE_004,15,2675.23,23.25,100250,347
Dec-19,101,101. (구)합정동 주민센터,정기,M,AGE_005,22,538.47,4.72,20360,145
Dec-19,101,101. (구)합정동 주민센터,정기,M,AGE_006,16,922.25,8.32,35830,256
Dec-19,101,101. (구)합정동 주민센터,정기,M,AGE_008,4,102.91,0.82,3560,17
Dec-19,102,102. 망원역 1번출구 앞,단체,\N,AGE_002,2,82.64,0.65,2820,17
Dec-19,102,102. 망원역 1번출구 앞,단체,F,AGE_002,2,80.58,0.93,3990,35
Dec-19,102,102. 망원역 1번출구 앞,일일(비회원),\N,AGE_008,6,603.86,5.44,23460,256
Dec-19,102,102. 망원역 1번출구 앞,일일(회원),\N,AGE_001,3,130.82,3.11,13370,88
Dec-19,102,102. 망원역 1번출구 앞,일일(회원),\N,AGE_002,49,6083.32,55.89,240820,1436
Dec-19,102,102. 망원역 1번출구 앞,일일(회원),\N,AGE_003,11,840.11,7.1,30630,246
Dec-19,102,102. 망원역 1번출구 앞,일일(회원),\N,AGE_004,5,2353.51,19.24,82920,146
Dec-19,102,102. 망원역 1번출구 앞,일일(회원),\N,AGE_008,2,252.71,2.6,11230,78
Dec-19,102,102. 망원역 1번출구 앞,일일(회원),,AGE_002,4,523.68,4.51,19430,189
Dec-19,102,102. 망원역 1번출구 앞,일일(회원),,AGE_004,1,73.62,0.66,2860,25
Dec-19,102,102. 망원역 1번출구 앞,일일(회원),F,AGE_001,4,296.11,3.39,14620,171
Dec-19,102,102. 망원역 1번출구 앞,일일(회원),F,AGE_002,26,2570.28,28.51,122920,503
