date,pg_pandas,pg_python,read_book,health,Meal,etc,active_time,sleep_time,total_time
20.12.28,12.00,0.00,1.00,1.00,2.00,0.00,16.00,8.00,24.00
20.12.29,10.50,2.00,1.50,1.50,2.00,0.00,17.50,6.50,24.00
20.12.30,13.50,0.00,1.50,1.50,2.00,0.00,18.50,5.50,24.00
20.12.31,13.50,0.00,1.50,1.50,2.00,0.00,18.50,5.50,24.00
21.01.01,12.00,0.00,1.00,1.50,2.00,0.00,16.50,7.50,24.00
21.01.02,8.50,0.00,1.50,1.50,2.00,0.00,13.50,10.50,24.00
21.01.03,0.00,0.00,1.00,1.50,2.00,10.00,14.50,9.50,24.00
21.01.04,13.50,0.00,1.00,1.50,2.00,0.00,18.00,6.00,24.00
21.01.05,12.50,0.00,0.50,1.50,1.00,0.00,15.50,8.50,24.00
21.01.06,12.00,0.00,1.00,1.50,2.00,0.00,16.50,7.50,24.00
21.01.07,10.00,0.00,1.00,1.50,2.00,2.00,16.50,7.50,24.00
21.01.08,12.00,0.00,1.00,1.50,2.00,0.00,16.50,7.50,24.00
21.01.09,9.00,0.00,1.00,1.50,2.00,2.00,15.50,8.50,24.00
21.01.10,7.00,0.00,0.00,1.50,2.00,4.00,14.50,9.50,24.00
21.01.11,9.00,0.00,1.00,1.50,2.00,2.00,15.50,8.50,24.00
21.01.12,13.00,0.00,1.00,1.50,2.00,1.00,18.50,5.50,24.00
21.01.13,12.00,0.00,1.00,1.50,2.00,0.00,16.50,7.50,24.00
21.01.14,11.00,0.00,1.00,1.50,2.00,0.50,16.00,8.00,24.00
21.01.15,11.00,0.00,1.00,1.50,2.00,2.00,17.50,6.50,24.00
21.01.16,12.00,0.00,1.00,1.50,2.00,0.00,16.50,7.50,24.00
21.01.17,8.50,0.00,1.00,1.50,2.00,2.50,15.50,8.50,24.00
21.01.18,13.50,0.00,1.00,1.50,2.00,0.50,18.50,5.00,24.00
21.01.19,2.0,10.0,1.0,1.5,1.5,0.0,16.0,8.0,24.0
21.01.20,7.5,3.0,1.0,1.5,2.0,0.5,15.5,8.5,24.0
21.01.21,7.5,5.0,1.0,1.5,1.5,0.0,16.5,7.5,24.0
21.01.22,2.0,5.0,1.0,1.5,2.0,6.0,17.5,6.5,24.0
21.01.23,2.0,3.0,1.0,1.5,2.0,7.0,16.5,7.5,24.0
21.01.24,3.0,0.0,1.0,1.5,2.0,10.0,17.5,6.5,24.0
21.01.25,2.0,11.0,1.0,1.5,2.0,0.0,17.5,6.5,24.0
21.01.26,2.0,12.5,1.0,1.5,2.0,0.0,19.0,5.0,24.0
21.01.27,0.0,10.5,1.0,2.0,2.0,0.0,15.5,8.5,24.0
21.01.28,0.0,13.0,1.0,1.5,2.0,0.0,17.5,6.5,24.0
21.01.29,0.0,12.0,1.0,1.5,2.0,0.0,16.5,7.5,24.0
21.01.30,0.0,12.0,1.0,2.0,2.0,2.0,19.0,5.0,24.0
21.01.31,0.0,6.0,1.0,1.5,2.0,7.0,17.5,6.5,24.0
