"시도(1)","부문(1)","규모(1)",2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10
"전국","총합","총합",33894,29262,28883,28831,28309,26703
"전국","공공부문","소계",0,0,0,0,0,0
"전국","공공부문","60㎡이하",0,0,0,0,0,0
"전국","공공부문","60∼85㎡",0,0,0,0,0,0
"전국","민간부문","소계",33894,29262,28883,28831,28309,26703
"전국","민간부문","60㎡이하",7808,6447,6646,6132,6110,6025
"전국","민간부문","60∼85㎡",23411,20648,20319,20762,20528,19292
"전국","민간부문","85㎡초과",2675,2167,1918,1937,1671,1386
"수도권","총합","총합",3016,2772,3145,3166,3806,3607
"수도권","공공부문","소계",0,0,0,0,0,0
"수도권","공공부문","60㎡이하",0,0,0,0,0,0
"수도권","공공부문","60∼85㎡",0,0,0,0,0,0
"수도권","민간부문","소계",3016,2772,3145,3166,3806,3607
"수도권","민간부문","60㎡이하",997,928,1272,1163,1038,1071
"수도권","민간부문","60∼85㎡",1509,1333,1493,1663,2484,2307
"수도권","민간부문","85㎡초과",510,511,380,340,284,229
"서울","총합","총합",70,61,58,56,54,52
"서울","공공부문","소계",0,0,0,0,0,0
"서울","공공부문","60㎡이하",0,0,0,0,0,0
"서울","공공부문","60∼85㎡",0,0,0,0,0,0
"서울","민간부문","소계",70,61,58,56,54,52
"서울","민간부문","60㎡이하",66,58,56,54,52,50
"서울","민간부문","60∼85㎡",4,3,2,2,2,2
"서울","민간부문","85㎡초과",0,0,0,0,0,0
"부산","총합","총합",2149,1666,1544,1454,1397,1262
"부산","공공부문","소계",0,0,0,0,0,0
"부산","공공부문","60㎡이하",0,0,0,0,0,0
"부산","공공부문","60∼85㎡",0,0,0,0,0,0
"부산","민간부문","소계",2149,1666,1544,1454,1397,1262
"부산","민간부문","60㎡이하",950,687,609,577,590,562
"부산","민간부문","60∼85㎡",1016,816,791,735,665,560
"부산","민간부문","85㎡초과",183,163,144,142,142,140
"대구","총합","총합",1159,940,957,1624,1216,1143
"대구","공공부문","소계",0,0,0,0,0,0
"대구","공공부문","60㎡이하",0,0,0,0,0,0
"대구","공공부문","60∼85㎡",0,0,0,0,0,0
"대구","민간부문","소계",1159,940,957,1624,1216,1143
"대구","민간부문","60㎡이하",2,2,7,143,113,104
"대구","민간부문","60∼85㎡",925,886,906,1437,1061,999
"대구","민간부문","85㎡초과",232,52,44,44,42,40
"인천","총합","총합",342,266,294,525,414,822
"인천","공공부문","소계",0,0,0,0,0,0
"인천","공공부문","60㎡이하",0,0,0,0,0,0
"인천","공공부문","60∼85㎡",0,0,0,0,0,0
"인천","민간부문","소계",342,266,294,525,414,822
"인천","민간부문","60㎡이하",41,38,27,70,56,52
"인천","민간부문","60∼85㎡",110,80,144,328,257,689
"인천","민간부문","85㎡초과",191,148,123,127,101,81
"광주","총합","총합",31,31,31,31,259,245
"광주","공공부문","소계",0,0,0,0,0,0
"광주","공공부문","60㎡이하",0,0,0,0,0,0
"광주","공공부문","60∼85㎡",0,0,0,0,0,0
"광주","민간부문","소계",31,31,31,31,259,245
"광주","민간부문","60㎡이하",11,11,11,11,11,11
"광주","민간부문","60∼85㎡",20,20,20,20,248,234
"광주","민간부문","85㎡초과",0,0,0,0,0,0
"대전","총합","총합",871,875,849,783,773,832
"대전","공공부문","소계",0,0,0,0,0,0
"대전","공공부문","60㎡이하",0,0,0,0,0,0
"대전","공공부문","60∼85㎡",0,0,0,0,0,0
"대전","민간부문","소계",871,875,849,783,773,832
"대전","민간부문","60㎡이하",870,874,848,782,772,831
"대전","민간부문","60∼85㎡",1,1,1,1,1,1
"대전","민간부문","85㎡초과",0,0,0,0,0,0
"울산","총합","총합",614,555,548,502,494,474
"울산","공공부문","소계",0,0,0,0,0,0
"울산","공공부문","60㎡이하",0,0,0,0,0,0
"울산","공공부문","60∼85㎡",0,0,0,0,0,0
"울산","민간부문","소계",614,555,548,502,494,474
"울산","민간부문","60㎡이하",133,132,127,127,127,127
"울산","민간부문","60∼85㎡",473,415,414,368,360,340
"울산","민간부문","85㎡초과",8,8,7,7,7,7
"세종","총합","총합",0,0,0,0,0,0
"세종","공공부문","소계",0,0,0,0,0,0
"세종","공공부문","60㎡이하",0,0,0,0,0,0
"세종","공공부문","60∼85㎡",0,0,0,0,0,0
"세종","민간부문","소계",0,0,0,0,0,0
"세종","민간부문","60㎡이하",0,0,0,0,0,0
"세종","민간부문","60∼85㎡",0,0,0,0,0,0
"세종","민간부문","85㎡초과",0,0,0,0,0,0
"경기","총합","총합",2604,2445,2793,2585,3338,2733
"경기","공공부문","소계",0,0,0,0,0,0
"경기","공공부문","60㎡이하",0,0,0,0,0,0
"경기","공공부문","60∼85㎡",0,0,0,0,0,0
"경기","민간부문","소계",2604,2445,2793,2585,3338,2733
"경기","민간부문","60㎡이하",890,832,1189,1039,930,969
"경기","민간부문","60∼85㎡",1395,1250,1347,1333,2225,1616
"경기","민간부문","85㎡초과",319,363,257,213,183,148
"강원","총합","총합",3470,3202,3015,2816,3060,2884
"강원","공공부문","소계",0,0,0,0,0,0
"강원","공공부문","60㎡이하",0,0,0,0,0,0
"강원","공공부문","60∼85㎡",0,0,0,0,0,0
"강원","민간부문","소계",3470,3202,3015,2816,3060,2884
"강원","민간부문","60㎡이하",670,651,643,627,850,914
"강원","민간부문","60∼85㎡",2704,2466,2288,2105,2104,1886
"강원","민간부문","85㎡초과",96,85,84,84,106,84
"충북","총합","총합",365,355,352,337,319,307
"충북","공공부문","소계",0,0,0,0,0,0
"충북","공공부문","60㎡이하",0,0,0,0,0,0
"충북","공공부문","60∼85㎡",0,0,0,0,0,0
"충북","민간부문","소계",365,355,352,337,319,307
"충북","민간부문","60㎡이하",139,125,115,113,106,99
"충북","민간부문","60∼85㎡",226,230,237,224,213,208
"충북","민간부문","85㎡초과",0,0,0,0,0,0
"충남","총합","총합",4695,3683,3266,3233,3030,3235
"충남","공공부문","소계",0,0,0,0,0,0
"충남","공공부문","60㎡이하",0,0,0,0,0,0
"충남","공공부문","60∼85㎡",0,0,0,0,0,0
"충남","민간부문","소계",4695,3683,3266,3233,3030,3235
"충남","민간부문","60㎡이하",1458,1122,1061,1052,886,878
"충남","민간부문","60∼85㎡",3172,2505,2155,2013,2099,2317
"충남","민간부문","85㎡초과",65,56,50,168,45,40
"전북","총합","총합",661,631,534,511,488,444
"전북","공공부문","소계",0,0,0,0,0,0
"전북","공공부문","60㎡이하",0,0,0,0,0,0
"전북","공공부문","60∼85㎡",0,0,0,0,0,0
"전북","민간부문","소계",661,631,534,511,488,444
"전북","민간부문","60㎡이하",245,235,181,176,169,154
"전북","민간부문","60∼85㎡",410,390,347,329,313,284
"전북","민간부문","85㎡초과",6,6,6,6,6,6
"전남","총합","총합",1249,1244,1244,860,758,1073
"전남","공공부문","소계",0,0,0,0,0,0
"전남","공공부문","60㎡이하",0,0,0,0,0,0
"전남","공공부문","60∼85㎡",0,0,0,0,0,0
"전남","민간부문","소계",1249,1244,1244,860,758,1073
"전남","민간부문","60㎡이하",661,661,661,325,258,154
"전남","민간부문","60∼85㎡",532,529,529,490,465,886
"전남","민간부문","85㎡초과",56,54,54,45,35,33
"경북","총합","총합",4306,3487,3276,3423,3325,2922
"경북","공공부문","소계",0,0,0,0,0,0
"경북","공공부문","60㎡이하",0,0,0,0,0,0
"경북","공공부문","60∼85㎡",0,0,0,0,0,0
"경북","민간부문","소계",4306,3487,3276,3423,3325,2922
"경북","민간부문","60㎡이하",631,607,572,555,599,565
"경북","민간부문","60∼85㎡",3524,2775,2602,2772,2632,2270
"경북","민간부문","85㎡초과",151,105,102,96,94,87
"경남","총합","총합",9971,8542,8840,8841,8163,7042
"경남","공공부문","소계",0,0,0,0,0,0
"경남","공공부문","60㎡이하",0,0,0,0,0,0
"경남","공공부문","60∼85㎡",0,0,0,0,0,0
"경남","민간부문","소계",9971,8542,8840,8841,8163,7042
"경남","민간부문","60㎡이하",903,293,433,375,486,450
"경남","민간부문","60∼85㎡",7770,7188,7426,7526,6832,5936
"경남","민간부문","85㎡초과",1298,1061,981,940,845,656
"제주","총합","총합",1337,1279,1282,1250,1221,1233
"제주","공공부문","소계",0,0,0,0,0,0
"제주","공공부문","60㎡이하",0,0,0,0,0,0
"제주","공공부문","60∼85㎡",0,0,0,0,0,0
"제주","민간부문","소계",1337,1279,1282,1250,1221,1233
"제주","민간부문","60㎡이하",138,119,106,106,105,105
"제주","민간부문","60∼85㎡",1129,1094,1110,1079,1051,1064
"제주","민간부문","85㎡초과",70,66,66,65,65,64
