"시도(1)","부문(1)","규모(1)",2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10
"서울","공공부문","60㎡이하",0,0,0,0,0,0
"서울","공공부문","60∼85㎡",0,0,0,0,0,0
"서울","민간부문","60㎡이하",66,58,56,54,52,50
"서울","민간부문","60∼85㎡",4,3,2,2,2,2
"서울","민간부문","85㎡초과",0,0,0,0,0,0
"부산","공공부문","60㎡이하",0,0,0,0,0,0
"부산","공공부문","60∼85㎡",0,0,0,0,0,0
"부산","민간부문","60㎡이하",950,687,609,577,590,562
"부산","민간부문","60∼85㎡",1016,816,791,735,665,560
"부산","민간부문","85㎡초과",183,163,144,142,142,140
"대구","공공부문","60㎡이하",0,0,0,0,0,0
"대구","공공부문","60∼85㎡",0,0,0,0,0,0
"대구","민간부문","60㎡이하",2,2,7,143,113,104
"대구","민간부문","60∼85㎡",925,886,906,1437,1061,999
"대구","민간부문","85㎡초과",232,52,44,44,42,40
"대전","공공부문","60㎡이하",0,0,0,0,0,0
"대전","공공부문","60∼85㎡",0,0,0,0,0,0
"대전","민간부문","60㎡이하",870,874,848,782,772,831
"대전","민간부문","60∼85㎡",1,1,1,1,1,1
"대전","민간부문","85㎡초과",0,0,0,0,0,0
